item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q760348,eye surgery,medical specialty,medical specialty,surgery,http://commons.wikimedia.org/wiki/Special:FilePath/Augenoperation%201195.jpg
http://www.wikidata.org/entity/Q81197,nuclear physics,field of physics that deals with the structure and behavior of atomic nuclei,branch of physics,physics,http://commons.wikimedia.org/wiki/Special:FilePath/NuclearReaction.png
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",branch of science,technique,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",branch of science,applied physics,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q876215,harmonic analysis,,area of mathematics,data analysis,http://commons.wikimedia.org/wiki/Special:FilePath/Light%20wave%20harmonic%20diagram.jpg
http://www.wikidata.org/entity/Q614304,pharmacy,academic discipline studying preparation and dispensation of medicines,branch of science,medicine,http://commons.wikimedia.org/wiki/Special:FilePath/Bowl%20Of%20Hygieia%20by%20David.svg
http://www.wikidata.org/entity/Q426449,interventional radiology,medical specialty which provides minimally invasive image-guided diagnosis and treatment of disease,medical specialty,radiology,http://commons.wikimedia.org/wiki/Special:FilePath/CCSVI%20balloon%20dilatation%20of%20stenosed%20jugular%20vein.jpg
http://www.wikidata.org/entity/Q188462,canon law,ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members,area of law,law,http://commons.wikimedia.org/wiki/Special:FilePath/Cover%20of%20a%20copy%20of%20the%201917%20Codex%20Iuris%20Canonici%20%28Code%20of%20Canon%20Law%29.jpg
http://www.wikidata.org/entity/Q188462,canon law,ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members,area of law,law,http://commons.wikimedia.org/wiki/Special:FilePath/Extract%20from%20Burchard%20of%20Worms%27%20Decretum.jpg
http://www.wikidata.org/entity/Q658544,modern physics,modern subfields or aspects of physics; often those using 20th century theories such as quantum mechanics,branch of physics,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Modernphysicsfields.svg
http://www.wikidata.org/entity/Q161437,ophthalmology,field of medicine treating eye disorders,medical specialty,medicine,http://commons.wikimedia.org/wiki/Special:FilePath/Spaltlampe-2.jpg
http://www.wikidata.org/entity/Q180502,parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",branch of biology,zoology,http://commons.wikimedia.org/wiki/Special:FilePath/California%20fish%20and%20game%20%2819891706234%29.jpg
http://www.wikidata.org/entity/Q171251,administrative law,branch of law on the relationship between a state and its citizens as well as between different state institutions,area of law,public law,http://commons.wikimedia.org/wiki/Special:FilePath/Montesquieu%201.png
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",academic discipline,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q11023,engineering,applied science,branch of science,applied science,http://commons.wikimedia.org/wiki/Special:FilePath/Adjusting%20a%20power%20meter%20at%20an%20optical%20communications%20system%20testbed.jpg
http://www.wikidata.org/entity/Q83588,chemical engineering,"branch of science that applies physical sciences and life sciences together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy",area of engineering,engineering,http://commons.wikimedia.org/wiki/Special:FilePath/Chemengg.jpg
http://www.wikidata.org/entity/Q233858,non-Euclidean geometry,two geometries based on axioms closely related to those specifying Euclidean geometry,area of mathematics,geometry,http://commons.wikimedia.org/wiki/Special:FilePath/Euclidian%20and%20non%20euclidian%20geometry.png
http://www.wikidata.org/entity/Q233858,non-Euclidean geometry,two geometries based on axioms closely related to those specifying Euclidean geometry,area of mathematics,geometry,http://commons.wikimedia.org/wiki/Special:FilePath/Noneuclid.svg
http://www.wikidata.org/entity/Q207892,public law,"regulates the relationship between the state and citizens, regulates the organization and function of the State",area of law,political studies,http://commons.wikimedia.org/wiki/Special:FilePath/Sch%C3%B6nfelder%20-%20Deutsche%20Gesetze.%20Textsammlung%20%28C%20H%20Beck%29.jpg
http://www.wikidata.org/entity/Q428986,Linear city,,urbanism,city,http://commons.wikimedia.org/wiki/Special:FilePath/Ciudad%20Lineal-perfil.jpg
http://www.wikidata.org/entity/Q1567507,Traditional Tibetan medicine,,traditional medicine,traditional medicine,http://commons.wikimedia.org/wiki/Special:FilePath/MenlaGyamtso.jpg
